x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
1.0,-0.6718778131923089,5.854113480929369,1.8140512612591901,1.994401365323591,6.314336277830336,4.671317958037266,4.620907097057131,-33.120086220840605,1.8850593727421645,4.258462153685468,1.854549138810824,6.695962364528866,2.017412566965863,5.830505715546612,6.34846642893744,2.0201191496932474,1.5499084509013141,1.6485406921607961,4.6901134576095975,3.994545386368683,6.702402756745268,0.882372238474842,1.9502101940855647,3.3521541815346985,1.9350524114177317,1.5044648987057723,6.676153385444822,6.702599418855096,1.54024279395976,5.7822719734630725,3.569104943871789,6.146175271693823,3.9137958257066923,6.702599418855096,2.004494189751708,0.7651353028126957,0.7952408174414755,3.6154079223762743,1.8898055213320173,5.821092499374077,3.5381767635308465,6.517396207875011,5.765509013978507,6.26747749194858,-1.3013518771725188,6.698875238183008,5.869179208286996,1.9281864322362705,6.346891072983315,-55.33553606728951
2.0,-2.100685395655511,6.702599418855096,6.699685716278974,6.07109032726221,6.6337973773447345,6.139274809357992,4.524876359540866,4.436748681347899,3.9898837659875848,1.8974578302251293,4.236168571527849,-10.189053897888547,6.519115322768993,5.24733896994615,6.451047055627749,6.515359049216776,5.861279391855581,1.9788662164322472,3.9096831656194024,3.6056525798403305,-55.18369987666311,-1.0429274587095196,4.400456180062095,-57.627763368147065,-2.213018552083357,6.593373605046672,6.6036858435433965,-57.75593172572182,-0.7405356002214172,0.8784037237730881,1.983286153501271,6.294739210018661,3.6244026502087707,6.637453429359606,3.731492868388587,1.287514136368682,4.711206774295968,3.949774470159519,2.9742428314408444,6.55319798691565,5.868792560867366,2.002560742832681,-0.8773854844804746,6.264831853026886,6.4624931487198385,4.6806668559044775,-0.6718159602073653,6.702599418855096,-2.1036210128564816,-2.0518511707902256
3.0,-10.73305763802727,-13.65538454830714,-1.0468646557355357,-55.327323322050475,-82.11295913733474,-21.470047369986506,-66.83079925301358,-8.420764392940203,-4.53544427776185,-47.94628719102011,-0.036684775364876014,-5.1551460820941015,-22.33703503023989,-2.9835575564864114,-30.972176313955273,-11.879484553819132,-6.33629971961001,-20.49827128834698,4.656983365414672,-33.222279790149045,4.604968864406704,4.418464829159753,-1.575379234941903,-35.556155389327,-2.717988250087316,-20.577679139169387,4.577977681923306,3.172446768445164,-0.48622184480477876,-1.0921172063444748,-4.430776997964117,3.582782722835577,-23.483952548353567,-4.352554992992708,-0.29060341018354335,-2.9298510679467102,-20.94701862494151,4.033755604622981,1.4840788418006836,4.080481613692289,-1.7994204972875427,-4.119928564025382,-13.128328329048383,-8.986026331918117,-57.2048221362288,2.830865326111939,-15.631039154384831,-33.320388875743845,-2.7001783286168566,-56.25819743108072
4.0,-66.98260726086353,-34.316000701529475,1.6101346186013166,2.0594135822013495,5.144951744105009,5.807847099152525,-21.8079663583088,-6.171764594030895,-16.718295867681512,-8.52369412037152,-1.0126636335404386,-0.2936758418654369,-7.838365591654606,-61.384978987713474,-2.1768836127408386,-72.07666474156636,-66.32052380090539,-29.45953344966892,-9.62008726270904,-0.04733005216160762,-1.6407478876998849,-2.6219001330763754,-75.56472057755546,-74.26572526495065,-0.7097839024426033,-53.91473032170519,-34.54479880757083,-22.269129299847062,-5.191104424114452,-7.425754698706908,-8.202865516257974,-29.541502530430805,-2.5719427983292382,-59.12774755795802,3.220298227111007,-47.82458507733482,2.850366499053201,2.017734852601998,-53.927928205197766,-93.42697918752631,-0.029277931957491784,-0.15593908005070672,-59.52676940288882,2.372555038731171,-8.805115960727056,6.211407096231356,-6.106628965083592,-39.37825669420096,-21.31732832016156,-41.245603668021324
5.0,2.834979201697441,2.834979235525316,2.834278676537774,2.8349716136266134,2.3825916163018976,2.833703821855242,2.833118787804644,2.8349791826705846,2.8266578868468684,2.8349788295907214,2.8338739486957816,2.1915380934989193,2.8349792355269465,2.8286339690427793,2.8349792352920296,2.193981586232731,2.8349792355269465,2.8339067492283854,2.8344925614760297,2.8306589627026804,2.742520021106662,2.834498877945929,2.1941151755285784,2.8326980452285113,2.7434387087647534,2.8130588756121373,2.833894437959581,2.834278676537773,2.8349792352920296,2.834278676537774,2.8349792355269465,2.8349792355269465,2.8349788448536613,2.8326244845977024,2.8266250106480952,2.834977977954039,2.8266551468160537,2.8349207889512145,2.8332953466358797,2.8333732938161846,2.834527389027984,2.8342785290687247,2.8349743643609115,2.8349743643609178,2.8320661936657148,2.834974345332585,2.4890214366420746,2.8342759355731215,2.8333144654939115,2.1925884906335105
6.0,2.832560072211503,2.8333564218309553,2.187577543005465,2.8259007244886516,2.192746490520774,2.8349792355269465,2.19018300219679,2.8344926357206934,2.8303957892657587,2.1426583971111994,2.1946582209598744,2.8349760464265903,2.1913566878186774,2.782228618667894,2.834334471037178,2.8333753798052075,2.834979232707934,2.819714465476031,2.8349792355269465,2.7433888484092424,2.1946579926141285,2.8349792355269465,2.382304230093359,2.834274394737783,2.142692887617219,2.8307534819460765,2.832941946237328,2.8339069598279485,2.8341531786087897,2.834979235281017,2.8349743618745444,2.742460214746965,2.8345319949390406,2.8274846492654286,2.4423207975170627,2.832351651529672,2.8333844215583714,1.6317513945193143,2.8346178807232785,2.833344885785023,2.38228995592533,2.8341042032086166,2.834979235525316,1.5913871415721372,2.8338846121058476,2.8273745202041187,2.833151196623214,1.8336442064596234,2.8330407451776423,2.787739762862421
7.0,2.834970773532284,1.9385508526212472,2.141922254871498,2.3823390827941755,2.829652576014111,2.1543567996801536,1.7539439874675475,2.572269585679051,1.6559797544209562,2.833115777139238,2.12588287765307,2.6555269666453514,1.8282548612703533,2.727078938436354,2.192827096536739,1.8203471414556835,2.83423498908186,2.1933611349737157,2.751227109543269,1.8289620399756676,2.8318315976897903,2.6861186603427587,2.8283322463879053,2.830041760520006,2.178770714191836,1.819599363322902,1.503050312721549,2.1753131612770473,2.8337855977360937,2.831334807110043,2.834394286424547,2.8331441002317743,2.8330723020862507,2.1939094922489693,1.517505660116869,1.587649019429026,2.6916637053992467,1.8174939958974703,1.611166871264348,2.239995359764136,2.103054691830789,1.614058644364242,2.3832571001225986,2.4580903382982866,2.81788798042095,1.954985341525566,2.8318165437844103,2.804294414222423,1.4870847498807254,2.142820326750595
8.0,1.9667511558997066,1.3792346144274603,2.3179219792306816,2.115099728974508,1.9989937951701124,2.2249851705522428,2.5676697286715635,1.981188270137554,1.922901984365493,1.7747039027995464,2.0574432943789596,2.130181061947803,2.799044949147421,2.2366837070091514,2.8312872130035767,1.8040784013423639,1.7765357232777248,1.5343716563362517,2.091521663893027,1.6937563400709237,2.4061775537636048,2.233476988264277,1.7059460125809887,1.833203671772535,1.9230934168164187,2.2217635588820737,1.8745459644992146,1.4705124455285359,2.7387392924916796,1.8050088230686663,2.4483331197385065,1.9657415219925765,2.7823671090993387,2.222365621889849,1.4950378344010073,2.7365608856719916,2.1774869073991456,2.652334434138664,1.5470617115634995,2.37963942286955,1.824354296905308,1.9311786584171944,2.484306387519582,1.4157449479702373,1.6166021647118818,2.822343107059937,1.8121554368706998,1.9395916583013566,1.428566528056074,1.8336833361401872
9.0,3.409127908226589,3.363170623790649,3.408072660575026,3.4060370785696836,3.409670314837168,3.4136162351430723,3.413426054140861,3.40621622673255,3.408572016553919,3.4085386984223542,3.3998646980071006,3.4088721975546394,3.4092065861625778,3.4149975274263493,3.402954501368206,3.409209542004667,3.3897529025519044,3.408853425140646,3.4096750910667413,3.414424024248899,3.409479058094502,3.409683790408402,3.4126471424650355,3.3923611869745254,3.4088839211438873,3.4085237785975426,3.4066537943573287,3.0898145391537044,3.3921216169037303,3.084155733546867,3.09370194086585,3.407623485497735,3.4080919636028764,3.0928045606764,3.412637382165264,3.3615515897757087,2.914624609904742,3.4132837059088224,3.4080532143847515,3.408696950256204,3.4098906537943585,2.9141914194512775,3.41032804898182,3.096084121617516,3.410164203511784,3.409918127748551,3.3631953387864417,3.4127234649574945,3.4106068705587322,2.8947491397298095
10.0,3.4074222725557175,3.4126650693822915,3.3943048631166324,3.4139647815239975,3.407404573618097,3.4030342257384567,3.3941610270880562,3.4009833352868957,3.082260934969065,3.413182786926001,3.391432305016439,3.410855186969964,2.916492707023424,3.348709489308094,3.394174342307721,3.408128866359109,3.0917312574006828,3.406995816867761,3.4025114263777514,3.0859606419296415,3.344548977086665,3.405729420691724,3.394172981372835,3.0905785551923723,3.4124921325656357,3.094377764993669,3.4127397448803736,3.252065033120683,3.3941794662934637,3.3975802046414882,3.092369234861943,2.9135455697909824,3.398192908756348,3.4076856877066195,3.092982738624706,3.4112076997733727,3.4049882334895454,3.093082981516275,3.380558845150233,3.0899449446405582,3.39691570303459,3.3946655801926733,3.3938821518283304,3.3933573245133055,3.412948489652308,3.0457041852094426,3.07080956148085,3.3921815929890253,3.393437617764692,3.409165345038177
