Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.001,Ambiguous,24,16.047,16.289,0.994,"(15.416, 17.162)",99.3,0.0,"(99.3, 99.3)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.1,Ambiguous,26,14.938,16.392,1.594,"(14.994, 17.79)",99.2,0.3,"(98.9, 99.5)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.2,Ambiguous,28,14.938,14.376,1.602,"(12.97, 15.782)",99.2,0.3,"(98.9, 99.5)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.3,Ambiguous,30,14.938,15.104,1.209,"(14.043, 16.164)",98.4,0.6,"(97.89999999999999, 98.9)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.4,Ambiguous,32,14.938,14.304,1.578,"(12.92, 15.688)",98.9,0.6,"(98.4, 99.5)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.001,Nominal,23,16.047,16.58,0.452,"(16.184, 16.977)",98.0,0.0,"(98.0, 98.0)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.1,Nominal,25,14.938,14.872,1.726,"(13.357, 16.387)",98.0,1.5,"(96.7, 99.3)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.2,Nominal,27,14.938,15.247,1.885,"(13.593, 16.901)",78.9,44.1,"(40.2, 117.7)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.3,Nominal,29,14.938,15.36,0.635,"(14.802, 15.917)",98.4,0.6,"(97.89999999999999, 98.9)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.4,Nominal,31,14.938,15.239,0.555,"(14.751, 15.726)",99.3,0.0,"(99.3, 99.3)"
Rock Diagnosis,rock,Standard,Information,Approximate Entropy,0.001,Ambiguous,8,16.283,16.614,0.688,"(16.01, 17.217)",97.89999999999999,0.3,"(97.6, 98.1)"
