Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
Crying Baby,baby,Standard,Standard,NA,0.0,Nominal,1,-18.27,-19.735,12.553,"(-22.198, -17.272)",0.873,0.035,"(0.867, 0.88)"
Crying Baby,baby,Standard,Standard,NA,0.001,Ambiguous,2,-18.27,-23.346,13.449,"(-25.985, -20.707)",0.824,0.033,"(0.817, 0.83)"
Crying Baby,baby,Standard,Standard,NA,0.01,Ambiguous,3,-18.27,-25.217,10.664,"(-27.309, -23.124)",0.804,0.035,"(0.797, 0.811)"
Crying Baby,baby,Standard,Standard,NA,0.1,Ambiguous,4,-18.27,-46.246,13.136,"(-48.823, -43.668)",0.64,0.056,"(0.628, 0.651)"
Crying Baby,baby,Standard,Standard,NA,0.2,Ambiguous,5,-18.27,-69.973,13.244,"(-72.572, -67.375)",0.463,0.055,"(0.452, 0.474)"
Crying Baby,baby,Robust,Standard,NA,0.001,Nominal,6,-18.493,-35.189,13.038,"(-37.747, -32.631)",0.8,0.042,"(0.792, 0.808)"
Crying Baby,baby,Robust,Standard,NA,0.001,Ambiguous,7,-18.493,-36.903,13.103,"(-39.474, -34.332)",0.792,0.042,"(0.784, 0.8)"
Crying Baby,baby,Robust,Standard,NA,0.01,Nominal,8,-20.313,-35.445,12.712,"(-37.939, -32.95)",0.792,0.042,"(0.783, 0.8)"
Crying Baby,baby,Robust,Standard,NA,0.01,Ambiguous,9,-20.313,-39.441,12.349,"(-41.864, -37.018)",0.779,0.037,"(0.772, 0.786)"
Crying Baby,baby,Robust,Standard,NA,0.1,Nominal,10,-40.857,-19.978,11.56,"(-22.246, -17.71)",0.808,0.046,"(0.799, 0.817)"
Crying Baby,baby,Robust,Standard,NA,0.1,Ambiguous,11,-40.857,-46.618,14.14,"(-49.393, -43.844)",0.589,0.063,"(0.576, 0.601)"
Crying Baby,baby,Robust,Standard,NA,0.2,Nominal,12,-64.255,-21.559,11.625,"(-23.84, -19.278)",0.797,0.043,"(0.788, 0.805)"
Crying Baby,baby,Robust,Standard,NA,0.2,Ambiguous,13,-64.255,-70.891,11.189,"(-73.086, -68.696)",0.505,0.056,"(0.494, 0.516)"
